"6580,VSKP-YPR WKY,15,JTJ,JOLARPETTAI,05:05:00,05:10:00,935,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN."
"6580,VSKP-YPR WKY,16,KPN,KUPPAM,05:38:00,05:40:00,978,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN."
"6580,VSKP-YPR WKY,17,BWT,BANGARPET JN,06:10:00,06:12:00,1013,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN."
"6580,VSKP-YPR WKY,18,WFD,WHITE FIELD,06:58:00,07:00:00,1060,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN."
"6580,VSKP-YPR WKY,19,KJM,KRISHNA RAJA,07:28:00,07:30:00,1069,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN."
"6580,VSKP-YPR WKY,20,BAND,BANASWADI,07:50:00,07:51:00,1074,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN."
"6580,VSKP-YPR WKY,21,YPR,YESVANTPUR J,09:05:00,09:05:00,1086,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN."
"7016,KCG-VSKP,1,KCG,KACHEGUDA,18:45:00,18:45:00,0,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,2,MJF,MALKAJGIRI,19:05:00,19:07:00,8,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,3,CHZ,CHARLAPALLI,19:34:00,19:35:00,18,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,4,NLDA,NALGONDA,21:32:00,21:33:00,115,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,5,MRGA,MIRYALAGUDA,22:05:00,22:06:00,154,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,6,PGRL,PIDUGURALLA,23:07:00,23:08:00,213,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,7,SAP,SATTENAPALLE,23:50:00,23:51:00,245,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,8,GNT,GUNTUR JN.,00:55:00,01:00:00,287,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,9,BZA,VIJAYWADA JN,02:00:00,02:15:00,320,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,10,EE,ELURU,03:00:00,03:02:00,379,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,11,TDD,TADEPALLI GU,03:30:00,03:32:00,427,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
